                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1195,                 2.1521,                 1.4043,                0.48731,                0.51267,                0.47694,                  0.329,                 1.1293,                 3.6048,                 1.5562,             0.00046472,             0.00046472,             0.00046472
                      2,                 1.0712,                 1.5465,                 1.3304,                0.33296,                0.50602,                0.33682,                 0.1893,                 1.3259,                 5.1508,                 1.8743,             0.00092242,             0.00092242,             0.00092242
                      3,                 1.1156,                 1.4927,                 1.3366,                0.25351,                0.53849,                0.28348,                0.14485,                 1.6267,                 8.0829,                 1.9686,              0.0013613,              0.0013613,              0.0013613
                      4,                 1.1296,                  1.466,                 1.3856,                0.33055,                0.43214,                0.28706,                0.13964,                 1.8053,                 2.7944,                 2.0445,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.1057,                  1.393,                 1.3545,                0.50596,                0.54804,                0.49419,                0.31271,                 1.4412,                 2.0307,                 1.8202,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.0697,                 1.3298,                 1.3338,                0.54253,                0.59965,                0.54924,                0.36974,                 1.3032,                 2.0039,                 1.6118,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.0084,                   1.24,                  1.284,                0.51741,                0.57255,                0.50793,                0.32704,                 1.2992,                 1.8923,                 1.6755,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.0543,                 1.2354,                 1.3259,                 0.3766,                0.52651,                0.37404,                0.23326,                 1.4223,                 2.7282,                 1.6974,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.0485,                 1.2297,                  1.316,                 0.3077,                0.46934,                 0.2734,                0.16203,                 1.5015,                 2.6623,                 1.7536,              0.0012026,              0.0012026,              0.0012026
                     10,                  0.975,                 1.1329,                  1.263,                0.61024,                 0.6206,                0.58557,                 0.4429,                 1.0153,                 1.4651,                 1.3625,              0.0011744,              0.0011744,              0.0011744
                     11,                0.93943,                  1.147,                 1.2494,                 0.6801,                0.64857,                0.63695,                0.43318,                 1.1609,                 1.3731,                 1.5072,              0.0011461,              0.0011461,              0.0011461
                     12,                0.95468,                 1.1265,                 1.2568,                0.61908,                0.63791,                0.64513,                0.46219,                 1.0122,                  1.195,                 1.3677,              0.0011178,              0.0011178,              0.0011178
                     13,                0.91088,                 1.1063,                 1.2365,                0.60141,                0.70417,                0.63308,                0.47873,                0.92119,                 1.2706,                 1.2813,              0.0010895,              0.0010895,              0.0010895
                     14,                0.89324,                 1.0486,                 1.2063,                0.69708,                 0.7067,                0.70775,                0.53018,                0.95996,                 1.1281,                 1.3139,              0.0010612,              0.0010612,              0.0010612
                     15,                0.90727,                  1.097,                 1.2205,                0.57238,                0.71555,                0.63139,                0.47058,                0.92072,                 1.1751,                 1.2687,              0.0010329,              0.0010329,              0.0010329
                     16,                0.85832,                0.99277,                 1.1945,                0.70323,                0.69235,                0.71105,                0.52883,                0.91551,                 1.0377,                  1.259,              0.0010046,              0.0010046,              0.0010046
                     17,                0.85991,                0.96134,                 1.1806,                0.66828,                0.78064,                0.74132,                0.55546,                0.87299,                0.99193,                 1.2298,             0.00097629,             0.00097629,             0.00097629
                     18,                0.85164,                0.96231,                 1.1915,                0.69324,                0.71051,                0.70924,                0.53558,                0.89883,                 1.0126,                 1.2375,               0.000948,               0.000948,               0.000948
                     19,                 0.8394,                0.92854,                 1.1697,                0.76068,                0.68766,                0.70707,                 0.5342,                0.89074,                  1.021,                 1.2535,              0.0009197,              0.0009197,              0.0009197
                     20,                0.81456,                0.89899,                 1.1641,                0.67146,                0.72285,                0.68292,                0.50829,                0.86822,                 1.0894,                 1.2203,             0.00089141,             0.00089141,             0.00089141
                     21,                0.80008,                0.92359,                 1.1677,                0.73288,                0.71371,                0.73138,                0.56799,                0.80545,                0.96812,                 1.1819,             0.00086312,             0.00086312,             0.00086312
                     22,                0.80438,                0.87996,                 1.1523,                0.73769,                0.68572,                 0.7166,                0.55138,                0.88586,                 1.0342,                 1.2508,             0.00083482,             0.00083482,             0.00083482
                     23,                0.78138,                0.89985,                 1.1376,                0.69125,                0.74622,                0.73098,                0.57808,                0.79335,                 0.9727,                 1.1573,             0.00080653,             0.00080653,             0.00080653
                     24,                0.78871,                0.87759,                 1.1529,                0.63377,                0.73617,                0.72035,                0.54878,                0.83524,                 1.0054,                 1.2049,             0.00077823,             0.00077823,             0.00077823
                     25,                 0.7741,                0.86168,                  1.139,                0.71032,                0.71462,                0.74362,                0.58411,                0.80623,                0.96504,                 1.1761,             0.00074994,             0.00074994,             0.00074994
                     26,                0.75336,                0.83762,                 1.1298,                0.74904,                0.73615,                0.74698,                0.58426,                0.77704,                0.90889,                 1.1474,             0.00072164,             0.00072164,             0.00072164
                     27,                0.76803,                0.84126,                 1.1313,                0.75607,                0.75588,                0.78264,                0.62605,                0.78331,                0.87502,                 1.1716,             0.00069335,             0.00069335,             0.00069335
                     28,                0.73593,                0.78684,                 1.1251,                0.70959,                0.78188,                0.76373,                0.60462,                 0.7801,                0.89044,                 1.1547,             0.00066506,             0.00066506,             0.00066506
                     29,                0.70552,                0.78499,                 1.1012,                0.74897,                0.73564,                0.76848,                0.60991,                0.78375,                 0.8933,                 1.1591,             0.00063676,             0.00063676,             0.00063676
                     30,                0.72579,                0.78686,                 1.0992,                0.76454,                0.73452,                0.79088,                 0.6349,                0.77438,                 0.8702,                 1.1566,             0.00060847,             0.00060847,             0.00060847
                     31,                0.70064,                0.78276,                 1.1024,                0.73597,                0.74981,                0.77234,                0.61366,                0.72701,                0.91284,                 1.0984,             0.00058017,             0.00058017,             0.00058017
                     32,                0.71003,                0.75266,                 1.0992,                0.85944,                0.69494,                 0.7864,                0.62791,                0.74363,                0.83064,                  1.136,             0.00055188,             0.00055188,             0.00055188
                     33,                0.68883,                  0.738,                  1.086,                 0.8014,                0.72417,                0.79672,                0.62527,                0.77878,                0.85344,                 1.1739,             0.00052359,             0.00052359,             0.00052359
                     34,                0.69911,                0.73459,                 1.0914,                0.77717,                0.76963,                0.79889,                 0.6432,                0.71906,                0.83057,                  1.108,             0.00049529,             0.00049529,             0.00049529
                     35,                0.67021,                0.70039,                 1.0637,                0.81197,                0.78908,                0.81031,                0.65515,                0.68946,                0.76457,                 1.0738,               0.000467,               0.000467,               0.000467
                     36,                0.68146,                0.73985,                 1.0823,                0.79206,                0.73674,                0.78152,                0.64065,                  0.692,                0.83791,                  1.086,              0.0004387,              0.0004387,              0.0004387
                     37,                0.65634,                0.69012,                 1.0642,                0.74048,                 0.7765,                0.78686,                0.62436,                 0.7221,                0.83205,                 1.1158,             0.00041041,             0.00041041,             0.00041041
                     38,                0.64193,                0.67697,                 1.0581,                 0.7828,                0.73588,                0.79597,                0.64567,                0.69073,                0.84419,                 1.0856,             0.00038211,             0.00038211,             0.00038211
                     39,                0.64593,                0.67824,                 1.0696,                0.80275,                  0.733,                0.79373,                 0.6388,                0.69233,                0.80125,                 1.0797,             0.00035382,             0.00035382,             0.00035382
                     40,                 0.6365,                0.65583,                 1.0518,                0.79436,                0.74384,                0.79798,                0.65322,                0.70252,                0.79506,                 1.0981,             0.00032553,             0.00032553,             0.00032553
                     41,                0.57832,                0.66932,                 1.0385,                0.83856,                 0.7495,                0.79803,                0.65506,                0.70354,                0.78785,                 1.1096,             0.00029723,             0.00029723,             0.00029723
                     42,                0.54853,                 0.5879,                 1.0131,                0.80142,                0.75162,                0.79483,                  0.658,                0.69519,                0.78469,                 1.1055,             0.00026894,             0.00026894,             0.00026894
                     43,                0.54902,                0.57624,                 1.0078,                0.82328,                0.72935,                0.78676,                0.64648,                0.68398,                0.80345,                  1.098,             0.00024064,             0.00024064,             0.00024064
                     44,                 0.5268,                0.53536,                0.99235,                0.78956,                0.79168,                0.79568,                 0.6646,                0.66947,                0.74439,                 1.0832,             0.00021235,             0.00021235,             0.00021235
